LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
768,4000,667,1333,1259,0,0,0,400,1600,400,679,265,268,336,323,724,0,0,1,0,27,6,0
1616,4000,1333,1333,1037,800,400,400,800,400,400,626,272,328,359,356,745,8,45,1,54,84,200,0
525,4000,2000,2667,370,1600,800,800,800,800,800,1096,807,892,910,889,1202,24,18,23,34,52,41,1
848,4000,1333,2667,1111,800,800,800,800,800,800,1026,746,733,786,743,1084,29,13,25,24,38,38,0
283,0,667,2667,1185,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
687,0,1333,1333,889,800,800,400,400,800,800,1213,672,318,731,895,1198,92,40,431,316,1313,46,0
283,4000,1333,2667,222,1200,0,0,400,400,400,586,265,268,335,321,718,1,0,0,3,18,0,1
1051,4000,1333,1333,2222,400,400,400,800,400,400,613,304,317,359,326,728,48,38,27,5,38,38,0
1051,4000,1333,2667,370,800,800,800,800,800,800,692,311,327,394,383,770,6,5,6,8,12,8,0
1414,4000,667,2667,1185,0,0,0,0,0,0,587,1241,558,334,323,714,1192,238,0,0,0,0,0
646,4000,1333,1333,963,400,400,400,400,400,800,587,266,270,336,325,715,1,1,1,4,0,2,0
606,4000,1333,1333,1556,1600,1600,0,0,0,0,587,265,268,334,323,714,0,0,0,0,0,0,0
1172,4000,667,1333,1259,400,400,400,400,400,800,596,278,281,346,344,723,16,9,12,35,0,28,0
404,4000,667,2667,296,800,800,800,800,800,800,951,643,713,675,595,939,22,16,18,19,23,20,0
566,4000,1333,2667,296,0,0,0,0,0,0,598,265,300,340,323,714,1,24,6,0,0,0,0
162,4000,2000,1333,296,1600,1600,800,800,800,800,767,454,489,506,390,746,0,7,9,13,10,11,1
162,4000,1333,2667,444,1600,1600,1600,1600,1600,800,757,446,465,522,494,859,10,0,15,0,14,23,1
162,4000,1333,2667,370,800,800,800,800,800,800,690,381,404,410,397,780,7,4,3,4,7,4,1
768,4000,2000,1333,593,1600,1600,1600,1600,800,800,1041,762,845,863,844,1203,27,15,0,31,128,4,1
81,0,1333,2667,370,1200,2400,2000,1600,1600,2400,672,355,369,427,429,820,0,0,0,32,47,0,0
566,0,1333,1333,1481,800,800,800,800,800,800,655,343,314,379,369,759,9,10,4,6,19,15,0
0,0,2000,2667,593,1600,1600,3200,3200,3200,3200,587,265,269,335,323,715,0,0,0,0,0,0,1
929,4000,1333,2667,370,800,800,800,800,800,800,1239,940,1001,1030,1017,1213,35,20,25,65,56,46,0
768,4000,1333,1333,1333,800,800,800,800,800,0,676,385,417,458,323,714,30,18,1,0,0,0,0
162,4000,1333,2667,519,800,800,400,800,800,400,753,349,273,431,352,813,8,3,103,32,281,65,0
1980,4000,2000,1333,1259,0,0,0,0,0,0,634,297,279,344,368,715,38,8,10,74,2,41,0
40,0,667,2667,296,800,800,800,800,800,800,650,333,350,415,396,778,10,5,6,6,6,8,0
808,4000,1333,1333,741,800,800,800,800,800,800,1313,1060,1158,1068,841,1110,35,23,37,31,41,32,0
162,0,1333,2667,1185,2800,2400,2000,1600,800,800,656,338,350,408,393,778,0,0,0,2,9,8,0
162,4000,2000,2667,1407,800,800,800,800,800,800,690,382,385,398,382,767,46,16,7,5,19,15,0
1010,0,1333,2667,519,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
283,4000,2000,2667,2370,0,0,0,0,0,0,606,265,268,413,323,714,0,0,86,0,0,0,0
283,0,1333,2667,1852,800,800,800,800,800,800,743,437,471,529,514,883,5,4,5,8,12,17,0
1414,4000,1333,2667,1852,1200,1600,800,800,800,800,1867,1568,1515,1451,1420,1671,0,38,44,67,130,76,0
323,4000,2000,2667,519,800,800,800,800,800,1600,892,595,649,691,681,1012,19,13,14,43,0,30,0
162,4000,2000,2667,148,800,800,800,800,800,800,754,308,322,386,374,759,5,4,2,3,4,5,0
525,0,2000,1333,2593,1600,800,800,800,800,800,906,619,680,729,686,1033,19,12,15,21,31,24,1
848,4000,1333,2667,1926,800,800,800,800,800,800,1074,760,823,833,805,1121,23,22,22,32,47,35,0
162,4000,1333,2667,148,1200,400,400,400,400,800,650,281,268,335,436,796,32,0,1,300,19,23,0
242,4000,667,2667,593,800,800,1600,1600,1600,1600,838,556,595,658,628,990,30,0,26,0,50,0,1
1374,4000,667,1333,667,800,800,800,800,800,800,740,416,497,555,502,863,69,49,27,7,14,38,0
1010,4000,667,1333,2519,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
1051,4000,667,2667,963,800,800,1600,800,800,800,825,472,351,519,400,768,18,0,152,0,0,0,0
283,4000,1333,1333,1407,1200,1600,800,800,1600,800,810,467,440,474,438,809,0,7,18,0,10,23,0
162,0,1333,1333,370,1200,0,0,400,400,400,586,265,268,343,326,718,0,0,9,6,9,206,0
81,4000,1333,1333,889,1600,800,800,1600,1600,800,699,385,420,473,448,821,9,18,6,0,14,35,1
768,4000,667,1333,815,800,800,800,800,800,800,946,646,931,940,560,848,18,197,27,13,19,15,0
687,4000,2000,1333,1037,800,800,800,800,800,1600,1206,930,534,542,437,776,32,6,9,26,0,250,1
1818,0,667,1333,1407,800,800,800,800,800,800,940,605,625,673,624,970,23,16,23,26,38,23,0
848,4000,1333,2667,444,800,800,800,800,800,800,1367,1093,1044,877,794,1091,41,25,20,32,47,23,0
364,4000,667,2667,370,800,800,800,800,800,1600,595,278,287,356,350,737,6,4,5,10,0,3,0
40,4000,667,2667,296,800,800,800,800,800,800,627,310,324,390,355,743,5,4,5,6,3,8,0
1172,4000,2000,1333,815,800,800,800,800,800,0,639,320,335,408,323,714,7,4,13,0,0,0,0
162,4000,1333,2667,1630,1200,1600,800,800,800,800,759,445,478,434,424,806,0,7,4,13,19,15,0
606,4000,667,2667,1111,400,2000,1600,400,1600,400,588,267,269,340,326,722,0,0,6,0,20,0,1
889,4000,1333,1333,1111,0,0,0,0,0,0,599,276,274,346,335,717,13,5,12,21,9,0,0
646,4000,1333,2667,1333,400,400,400,400,400,400,596,324,273,335,342,724,72,4,1,31,25,59,0
323,4000,1333,1333,1481,800,800,800,800,800,800,803,503,544,588,572,951,14,14,13,13,66,0,0
768,4000,667,1333,1407,400,400,400,400,400,400,643,295,347,352,332,716,36,60,19,15,4,0,0
364,4000,1333,1333,1556,800,800,800,800,800,800,615,298,310,376,361,747,5,4,5,2,3,4,0
687,4000,667,2667,593,800,800,800,800,800,800,1022,743,609,543,513,877,24,10,16,17,26,15,0
1374,0,1333,2667,815,800,800,800,800,800,800,1515,1167,1240,1181,1014,1251,46,33,45,36,56,76,0
1616,0,667,2667,815,400,1600,400,400,800,400,587,266,269,336,323,720,0,1,2,0,14,0,0
768,0,667,2667,815,800,800,0,0,0,400,623,265,268,334,323,724,0,0,0,0,27,1550,0
566,4000,667,2667,1037,0,0,0,0,0,0,619,318,302,368,352,729,64,25,37,47,41,12,0
283,4000,667,2667,444,800,800,800,800,800,800,711,402,431,492,478,851,8,7,9,11,15,24,0
162,4000,1333,1333,1704,800,800,800,800,800,800,654,341,361,424,412,793,6,4,4,6,9,8,0
323,4000,667,1333,1259,400,400,400,400,400,400,587,273,268,339,330,716,10,0,5,11,5,16,0
162,4000,1333,2667,222,400,800,400,1600,1600,0,652,341,291,343,323,714,9,17,0,0,0,79,0
283,4000,2000,1333,2296,0,0,0,0,0,0,587,265,272,334,324,714,0,3,0,3,0,0,0
606,0,2000,2667,444,1200,1600,400,800,800,800,870,397,417,399,717,1025,0,470,8,580,31,26,1
162,0,667,2667,1704,800,800,800,800,800,800,769,456,484,528,521,887,9,5,7,84,15,20,0
929,4000,1333,2667,1926,0,0,0,0,0,0,587,346,280,377,324,748,98,9,46,2,166,240,0
1212,4000,1333,2667,370,800,800,800,800,800,800,897,621,633,668,622,966,42,9,18,17,25,20,0
323,0,2000,1333,2370,800,800,800,800,800,800,940,596,663,565,430,791,17,17,5,6,11,27,0
1172,0,667,2667,815,1600,800,800,800,800,800,1490,1235,1396,1408,1356,1616,42,36,49,64,94,76,1
1131,4000,1333,2667,296,800,800,800,800,800,800,865,537,559,617,567,917,11,8,13,19,28,23,0
162,0,2000,1333,963,800,800,800,800,800,800,610,288,366,416,360,740,6,65,5,4,6,0,0
768,4000,1333,2667,889,800,800,800,800,800,800,1258,1003,1124,1115,1091,1395,30,22,24,35,67,42,0
485,4000,667,2667,1926,1600,1600,1600,1600,1600,1600,651,345,358,425,408,793,14,0,9,0,19,0,1
323,4000,1333,2667,296,800,800,800,800,400,400,686,376,401,453,362,722,7,5,4,63,20,3,0
162,4000,1333,2667,148,800,800,800,1600,800,800,753,449,475,419,404,781,10,8,0,13,19,15,1
283,0,667,2667,815,400,800,800,800,400,400,639,320,279,339,327,719,5,7,0,7,14,0,0
121,0,1333,1333,1926,800,800,1600,1600,2000,1600,709,408,429,503,482,849,16,0,22,0,0,14,0
364,4000,667,1333,1407,0,0,0,0,0,0,593,265,268,334,323,715,0,0,0,9,2,11,1
808,4000,1333,1333,1556,1200,0,0,400,800,800,586,265,268,362,348,737,0,0,30,2,9,9,0
485,4000,2667,2667,1926,1600,400,400,800,400,400,591,271,280,340,328,719,7,9,0,8,12,10,0
364,4000,2000,1333,1407,1600,1600,800,800,800,800,633,313,339,407,396,784,0,13,9,10,23,36,1
525,4000,667,2667,2444,1200,2000,1600,1600,1600,1600,650,331,347,406,397,777,0,4,0,10,0,14,1
283,4000,1333,1333,519,800,400,400,400,400,400,616,268,284,357,362,734,4,12,25,65,53,27,0
1616,0,1333,1333,1852,1600,1600,1600,1600,1600,800,839,544,583,649,620,975,17,0,27,0,24,21,1
1859,4000,1333,2667,1630,0,0,0,0,0,0,606,266,268,334,324,714,2,0,0,2,0,16,0
40,0,2000,2667,296,2000,1600,1600,2400,2400,2400,592,271,276,341,329,720,0,0,0,0,0,0,1
162,0,1333,1333,1926,800,800,800,800,800,800,626,312,327,394,381,765,7,5,7,5,7,5,0
1051,4000,667,2667,519,1200,1600,800,800,800,800,1004,592,606,594,527,822,0,33,45,64,94,38,0
40,4000,1333,2667,444,400,1600,800,800,800,1600,659,339,327,407,397,749,0,7,67,10,0,76,0
283,4000,2000,2667,370,800,800,800,800,800,800,864,555,618,647,622,967,14,16,16,52,28,24,0
1859,4000,1333,2667,1111,400,400,400,400,800,400,586,265,268,335,323,1416,9,0,1,0,1927,1,0
566,4000,1333,2667,667,800,800,800,800,800,800,964,667,690,692,530,889,18,15,22,13,16,17,0
1697,4000,1333,1333,1556,400,400,400,400,800,400,722,310,412,810,656,841,55,108,516,0,349,224,0
889,4000,2667,1333,1037,0,400,400,400,0,0,603,289,283,381,332,796,29,11,51,16,223,6,0
929,0,1333,1333,1333,1200,1600,800,800,800,800,1454,1156,1291,1305,1272,1549,0,34,46,56,85,69,0
768,4000,667,1333,1037,400,1600,400,400,400,400,593,267,277,334,330,715,0,6,0,12,3,24,1
929,0,667,2667,1037,800,800,800,800,800,800,1441,1163,1270,1166,980,1258,39,34,37,39,94,46,0
1091,4000,1333,2667,1630,800,800,800,800,800,800,697,387,412,472,458,832,7,5,5,8,12,10,0
40,4000,1333,2667,963,400,400,400,400,400,400,589,265,270,336,324,756,0,1,2,3,114,6,0
1778,0,667,1333,1407,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,1
687,4000,3333,1333,2444,800,800,800,800,800,800,899,608,671,721,704,1049,15,11,15,22,33,28,0
768,0,1333,2667,444,1200,1600,1600,1600,1600,1600,983,703,758,823,802,1137,30,0,45,26,47,0,0
283,4000,1333,2667,1556,800,800,800,800,800,0,646,333,334,398,322,714,6,5,4,0,0,0,0
566,0,1333,2667,1037,800,800,800,800,800,800,822,498,515,568,525,876,10,8,11,13,16,16,0
283,0,2000,2667,444,800,400,400,0,0,0,633,273,268,334,323,714,10,0,0,0,0,0,0
364,0,2000,2667,2074,400,400,0,0,0,0,591,265,268,334,323,714,0,0,0,0,0,0,0
444,0,1333,2667,296,1200,1600,1600,1600,1600,800,809,498,507,549,364,745,10,6,2,0,5,8,1
525,0,1333,2667,667,800,800,800,800,800,800,836,486,528,584,572,934,10,7,10,19,23,21,1
1253,0,3333,1333,1926,800,800,400,400,400,400,617,286,290,366,333,727,6,16,35,17,35,0,0
525,4000,2000,1333,519,1600,1600,1600,1600,1600,1600,926,637,705,750,709,1066,21,14,17,0,73,0,1
687,4000,667,1333,1333,800,800,800,800,800,800,1216,774,829,869,833,1078,28,20,22,32,38,27,1
81,0,1333,2667,148,800,800,1600,1600,800,800,637,390,343,354,342,714,15,7,0,0,0,0,0
929,0,1333,2667,1852,800,800,800,800,800,800,1514,1244,1389,1347,827,829,42,39,25,21,11,8,1
1131,0,667,2667,1259,0,0,0,0,0,0,594,272,277,344,327,519,8,7,10,8,17,462,0
808,4000,1333,2667,444,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,1
808,4000,1333,2667,1259,800,800,800,800,800,800,857,564,629,681,671,986,23,16,14,32,28,19,0
40,4000,1333,2667,74,800,800,800,800,800,400,722,342,303,390,399,743,12,7,50,60,136,82,1
525,4000,1333,2667,1185,800,800,400,400,400,400,1093,800,277,342,330,726,29,6,8,12,32,789,0
646,4000,2000,2667,667,800,800,800,800,800,800,1202,891,991,1006,970,1258,34,25,35,41,58,49,0
162,0,667,2667,2593,800,800,800,800,800,800,753,449,484,543,395,779,10,7,11,5,9,4,0
1172,4000,667,2667,1481,400,400,0,0,0,0,606,265,268,334,323,714,0,0,0,0,0,0,0
2384,4000,2000,2667,2222,800,800,800,800,800,800,923,563,912,1663,1552,1780,48,280,969,71,141,76,0
929,4000,667,2667,593,400,400,400,400,400,400,591,266,270,336,324,715,1,1,1,3,3,30,0
566,4000,1333,1333,1185,400,800,800,800,800,800,956,652,719,748,712,1061,27,15,22,32,47,31,0
929,4000,2000,2667,889,800,800,800,800,800,800,1372,1112,1256,1171,1139,1396,44,33,32,48,75,53,0
364,4000,1333,2667,1111,800,800,800,800,800,800,945,640,701,712,630,977,16,16,13,18,47,38,0
525,0,1333,1333,741,800,800,1600,1600,800,800,1061,811,895,822,700,1033,63,15,1,23,33,26,0
162,4000,667,2667,296,800,800,800,800,800,800,599,282,288,360,347,736,5,5,9,0,0,0,0
768,4000,667,2667,519,1600,1600,1600,1600,800,800,828,544,589,516,492,872,32,6,0,10,48,8,1
162,4000,1333,2667,741,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
1576,4000,1333,2667,222,800,800,800,800,800,800,712,406,435,494,442,809,9,6,6,6,9,7,0
889,4000,667,2667,815,1200,1600,1600,1600,800,800,1313,1064,1198,1189,1163,1484,46,25,0,52,159,0,1
444,4000,1333,2667,667,400,1600,1600,400,400,0,606,271,268,361,323,714,0,0,29,0,0,23,0
1253,0,2667,2667,1111,0,0,0,0,0,0,596,326,268,334,323,714,73,0,0,0,0,0,0
162,4000,2000,1333,2222,800,800,800,800,800,400,658,348,360,381,319,844,10,7,4,0,370,11,0
404,4000,667,2667,593,800,800,800,800,800,800,756,453,488,544,529,896,11,8,9,13,19,19,0
485,0,1333,1333,2370,400,400,400,400,400,400,589,265,270,336,324,716,0,1,2,3,4,3,0
81,0,667,2667,519,400,1600,1600,800,800,800,590,273,273,339,328,718,5,0,0,6,1,0,1
364,4000,4000,1333,593,800,800,800,800,800,800,938,581,522,698,519,793,26,12,263,10,9,8,0
1091,0,1333,1333,1037,800,800,800,800,800,800,1302,652,725,774,670,1016,18,13,18,19,34,24,0
1091,4000,667,2667,1333,400,400,400,400,400,400,592,266,277,340,328,719,2,7,6,9,12,11,0
606,4000,667,2667,519,800,800,800,800,800,800,731,424,456,515,500,871,8,6,8,10,17,13,0
525,4000,1333,2667,148,400,400,400,800,800,800,587,266,363,437,423,800,2,71,20,7,11,46,0
566,4000,1333,1333,222,800,400,400,400,400,400,591,270,283,359,333,730,7,11,27,17,42,30,0
808,4000,667,2667,741,800,800,800,400,800,800,620,307,274,435,419,792,23,4,110,6,4,61,0
162,4000,1333,1333,148,800,800,800,800,800,800,766,454,487,540,440,816,9,7,9,7,10,8,0
1212,4000,667,1333,1630,800,800,800,800,800,800,820,518,566,616,595,904,27,33,13,26,28,23,0
40,0,1333,2667,1926,1200,1600,1600,1600,800,800,616,296,317,378,367,755,0,10,0,6,9,14,1
1980,0,2000,2667,741,0,0,0,0,0,0,588,328,445,498,429,724,77,133,5,14,27,647,0
202,4000,667,2667,74,1600,800,800,800,800,400,794,496,522,581,401,815,17,5,9,3,281,8,0
162,4000,667,2667,296,1600,800,800,800,800,800,760,447,475,516,393,777,14,8,14,12,7,8,1
0,4000,667,2667,222,800,800,800,800,800,1600,606,290,303,364,356,742,5,4,7,9,0,11,0
364,4000,1333,1333,222,400,400,800,400,400,400,775,293,336,431,372,764,34,33,105,81,138,600,0
40,4000,1333,2667,74,800,400,1600,400,400,0,623,277,269,346,323,714,18,0,12,0,0,0,1
40,4000,2000,4000,2519,1200,1600,2000,1600,1600,1600,652,342,355,413,404,783,11,0,0,11,0,5,1
0,0,2000,2667,74,800,800,800,800,800,800,606,290,302,367,357,747,5,4,1,6,9,0,0
81,0,1333,1333,1481,800,800,800,800,800,800,605,318,305,370,354,714,42,3,1,1,0,0,0
808,0,1333,1333,1185,800,800,800,800,800,800,731,417,494,613,608,950,14,50,134,32,20,23,0
566,0,667,1333,1630,0,0,0,0,400,400,590,265,268,341,342,718,0,0,7,32,13,0,0
687,4000,2000,1333,741,800,800,800,800,800,800,828,530,580,633,615,971,14,11,14,17,26,23,0
81,0,667,2667,667,800,800,800,800,800,800,692,374,392,453,439,813,9,6,9,13,71,15,0
606,0,667,1333,1852,0,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,1
687,4000,1333,2667,667,800,800,800,800,800,800,741,433,463,520,512,879,8,6,8,26,17,13,0
0,0,667,1333,1407,1600,400,400,0,0,0,599,269,268,334,323,714,23,0,0,0,0,0,1
1414,0,667,2667,593,0,0,0,0,0,0,607,287,268,337,323,714,27,0,3,0,0,0,0
81,0,1333,1333,1259,1200,400,400,400,400,0,586,274,284,346,323,714,10,12,12,0,0,0,1
1980,0,667,2667,815,800,800,800,800,800,800,819,512,543,538,486,810,11,7,7,6,9,5,0
323,0,1333,1333,2667,800,800,800,800,800,800,624,306,316,380,383,781,14,10,13,32,56,61,0
1172,4000,2000,1333,1333,1600,800,800,1600,1600,1600,716,408,446,504,482,860,9,13,6,0,30,0,0
566,0,667,1333,2519,800,800,800,800,800,800,1092,814,920,947,633,976,24,24,21,18,26,21,0
566,4000,1333,1333,1481,800,800,400,400,400,400,602,280,274,341,323,716,14,8,12,0,6,0,0
1010,4000,1333,1333,1556,800,800,800,800,800,800,711,386,383,449,425,807,11,10,13,16,23,15,0
242,4000,1333,1333,1259,800,800,800,800,800,800,729,421,361,360,341,714,14,23,5,6,0,0,0
485,4000,1333,1333,2000,1600,1600,1600,1600,1600,1600,959,674,748,790,749,1104,25,18,18,0,80,0,1
566,4000,1333,2667,1111,1200,1600,800,800,1600,800,918,584,608,644,585,919,0,10,27,0,19,14,1
970,4000,667,2667,667,800,800,800,800,800,800,1139,848,938,964,916,1235,25,22,24,35,53,46,0
848,4000,667,1333,1926,800,800,800,800,800,800,1332,980,1043,1018,720,712,29,24,29,26,0,1340,0
848,0,667,2667,2000,800,800,800,1600,800,800,994,713,837,856,837,1171,27,53,0,32,59,23,0
1374,4000,1333,1333,963,1200,1600,800,800,800,800,670,351,370,432,417,800,0,6,7,6,19,11,0
162,0,1333,2667,296,800,800,800,800,800,800,607,392,411,429,401,773,138,6,4,5,9,8,0
40,0,2000,2667,222,400,1600,400,400,400,400,588,265,271,336,329,718,0,3,2,11,10,0,0
1414,0,1333,2667,667,0,400,1600,1600,0,0,586,269,273,334,323,714,5,0,0,0,0,0,0
485,4000,1333,1333,1111,1600,1600,800,800,800,1600,1053,753,840,879,879,1190,0,21,22,66,41,35,1
162,0,1333,2667,74,800,800,800,800,800,800,722,465,489,553,510,825,92,53,39,7,88,76,0
162,0,2000,2667,296,800,800,800,800,800,800,764,457,489,535,399,782,9,6,22,13,10,6,0
162,0,2000,1333,2222,800,800,800,800,800,800,758,441,472,457,442,815,9,5,4,7,9,7,0
81,0,2000,1333,1704,1600,1600,1600,800,800,800,652,350,364,428,415,800,21,0,7,8,19,23,1
525,0,667,2667,1037,800,800,800,800,800,800,623,334,381,394,377,724,46,33,22,13,19,8,0
444,4000,1333,1333,74,1600,1600,800,800,800,800,1016,721,802,626,485,849,9,19,13,10,13,14,0
162,4000,667,2667,370,800,800,800,800,800,800,716,410,439,480,445,772,9,7,36,193,15,9,0
162,0,1333,2667,222,800,800,800,800,800,800,656,342,356,416,401,784,6,4,3,5,10,5,0
1091,4000,1333,1333,444,0,0,0,0,0,0,589,265,293,338,323,718,0,19,4,1,9,5,0
566,4000,2667,1333,1111,0,0,0,0,0,0,605,265,268,334,323,714,0,0,0,0,0,0,0
364,0,667,1333,1259,1600,1600,1600,1600,1600,800,842,548,600,652,622,984,18,11,13,0,47,24,1
566,4000,667,2667,444,0,0,0,0,0,0,586,267,271,334,325,714,3,2,0,4,0,0,0
81,0,1333,1333,1926,400,400,800,800,800,800,589,287,306,369,366,751,27,10,1,19,6,2,1
727,4000,2000,1333,444,800,800,1600,400,400,800,741,468,364,346,749,1085,50,0,13,692,38,28,0
0,0,1333,2667,148,400,800,800,800,800,0,622,299,307,374,323,714,6,4,4,0,0,0,0
404,0,1333,1333,667,1600,1600,1600,1600,1600,1600,898,609,659,694,662,1001,33,13,13,20,28,23,1
1131,4000,1333,1333,1037,1200,400,400,400,800,800,586,272,276,413,373,812,8,6,85,3,19,27,0
970,4000,667,2667,593,800,800,800,800,800,800,936,657,652,707,581,930,41,23,40,52,75,61,0
525,0,1333,1333,1259,1600,1600,1600,1600,1600,1600,1053,779,843,905,882,1149,32,0,48,31,0,38,0
1091,0,667,1333,1556,1200,0,0,0,0,0,586,265,268,334,323,714,0,0,0,0,0,0,0
0,0,1333,1333,2148,1200,1600,800,800,800,800,622,296,305,368,355,743,0,4,5,2,3,8,0
0,0,1333,1333,1704,800,800,800,800,800,800,609,289,292,358,357,737,14,7,13,26,0,0,1
1212,4000,667,1333,1481,800,800,800,800,800,800,759,415,724,649,506,902,9,252,32,19,94,76,0
566,4000,3333,1333,1407,800,800,800,800,800,800,660,312,332,581,525,875,18,8,246,7,9,0,0
404,4000,667,2667,296,800,800,800,800,800,800,811,478,502,516,489,843,10,5,6,10,19,38,0
687,0,2000,1333,1185,0,0,0,0,0,0,626,279,285,358,323,717,16,13,26,0,9,21,0
81,4000,1333,2667,370,1600,1600,1600,1600,1600,1600,677,378,404,450,441,815,23,7,0,16,0,5,1
768,4000,1333,2667,889,800,800,800,800,800,800,1290,1008,1099,1011,977,1281,35,25,22,33,50,35,1
1939,4000,667,1333,1185,1200,1600,800,800,800,800,653,308,352,418,434,809,0,30,24,51,71,0,0
162,0,1333,1333,2074,800,800,800,400,400,400,751,320,298,349,323,735,5,3,16,0,56,25,0
606,4000,2000,1333,1037,400,400,400,400,800,800,587,265,270,366,351,739,0,1,35,0,0,11,0
929,0,1333,1333,889,800,800,800,800,800,800,1384,1136,1284,1138,1111,1405,37,24,29,45,66,53,0
606,4000,667,1333,963,1200,0,0,400,400,0,606,265,268,337,325,714,0,0,3,4,0,4,0
162,0,2000,2667,2667,400,400,400,400,400,400,587,271,270,336,324,716,8,1,2,3,4,4,0
283,4000,2000,2667,222,800,800,800,800,800,800,870,576,614,578,561,919,17,13,9,14,20,17,0
687,0,1333,2667,444,800,800,800,800,800,800,1107,842,896,796,768,1103,34,99,18,24,39,30,0
81,0,1333,2667,1037,2000,1600,1600,800,800,800,634,319,328,392,384,714,6,0,2,12,0,0,1
162,4000,1333,2667,74,800,800,800,800,800,800,747,436,463,549,494,822,9,7,45,13,11,15,0
242,4000,667,2667,519,1600,1600,1600,1600,1600,1600,798,486,547,600,585,945,0,22,10,18,24,0,1
848,4000,667,2667,519,400,400,400,0,0,0,675,360,268,334,323,714,114,0,0,0,0,0,0
162,4000,2000,4000,2519,400,400,400,800,800,1600,587,266,272,339,326,716,2,3,2,3,0,3,0
848,4000,667,1333,1630,800,800,800,800,800,800,815,513,560,615,599,957,11,8,11,16,24,20,0
162,0,2000,1333,1037,800,800,1600,800,800,1600,711,406,420,370,360,744,18,0,2,6,0,4,0
606,4000,667,2667,963,800,800,800,800,800,800,741,430,446,504,449,826,9,6,6,7,13,10,0
1576,4000,1333,2667,1185,0,0,0,0,0,0,618,304,366,419,433,743,47,73,92,179,78,108,0
323,4000,1333,1333,222,1600,1600,1600,1600,1600,1600,893,596,647,689,663,995,18,10,12,10,22,19,1
1131,4000,1333,1333,444,800,800,800,800,400,800,1592,1335,1474,334,1438,1701,64,54,0,1811,111,91,0
606,0,667,2667,444,400,400,400,400,400,400,606,278,294,564,415,814,15,26,251,150,109,76,0
283,0,667,2667,593,400,400,800,800,800,800,594,332,346,399,376,759,80,10,9,6,19,4,0
242,0,1333,2667,519,1200,1600,800,800,800,800,711,366,368,430,421,808,0,5,4,13,28,23,0
1414,4000,667,2667,519,800,800,800,800,800,800,1124,839,937,928,900,1194,26,20,22,32,47,759,0
1980,0,2000,1333,2148,400,400,400,400,400,400,587,275,288,336,324,715,13,14,2,2,3,0,0
202,4000,1333,1333,1407,1600,1600,1600,1600,800,800,738,438,472,470,444,821,17,7,0,7,10,8,1
1414,0,667,2667,1037,400,400,400,400,1600,800,590,356,272,338,324,715,110,3,1,0,0,6,0
1414,4000,1333,2667,444,1600,1600,0,0,0,0,595,265,268,334,323,714,0,0,0,0,0,0,1
1091,4000,667,1333,1185,1200,0,0,400,400,400,588,312,268,347,324,721,58,0,14,2,19,2,0
566,4000,667,2667,1333,400,400,400,400,400,400,592,321,272,340,366,719,67,3,6,71,14,33,0
768,4000,1333,1333,370,800,800,800,800,800,800,753,436,425,475,461,833,8,5,9,16,14,11,0
566,4000,667,2667,889,1200,0,0,0,0,0,585,264,267,333,321,713,0,0,0,0,0,6,0
2020,4000,667,2667,1037,400,800,800,800,800,400,594,273,293,353,336,718,5,15,0,0,10,16,0
162,4000,1333,2667,2074,1600,800,800,800,800,800,767,449,346,402,381,760,6,5,2,3,5,3,0
808,4000,1333,1333,1926,400,400,400,400,400,400,594,267,280,349,337,728,3,9,16,24,38,66,1
40,4000,1333,2667,370,1600,800,800,800,800,800,655,338,356,415,383,714,8,5,2,3,0,0,1
768,4000,2000,2667,889,1200,1600,1600,1600,1600,1600,770,459,507,562,545,909,0,16,9,13,18,17,1
646,0,667,2667,519,800,800,800,800,800,800,785,482,523,575,528,889,9,7,9,12,23,15,0
687,4000,1333,1333,1481,800,800,800,800,800,800,1079,803,802,792,774,1113,29,20,22,29,47,32,0
808,0,2000,1333,1185,400,400,400,400,400,400,594,271,277,342,330,719,7,6,9,12,14,18,0
646,4000,667,1333,2296,400,400,1600,400,400,400,596,286,270,365,348,719,14,0,34,41,16,23,0
162,0,2000,2667,296,800,800,800,800,800,800,749,439,419,431,409,736,8,5,2,3,1,194,0
81,4000,1333,1333,370,1600,1600,1600,1600,1600,1600,696,381,399,460,433,814,9,0,10,0,23,0,0
444,0,1333,1333,667,1200,1600,1600,1600,800,800,870,575,630,667,651,1004,16,10,0,20,33,24,0
808,0,1333,2667,2296,0,0,0,0,0,400,606,285,270,412,350,919,25,1,85,44,563,2,0
